name,price
Python自然语言处理实战：核心技术与算法 自然语言处理教程书籍,48.30
Python函数参考手册（Python3全彩版）内置函数速查，赠源码、电子书、快用目录,60.10
Python编程超级魔卡（全彩版）,14.90
Python数据分析(活用Pandas库)/图灵程序设计丛书,54.70
Python自动化运维实战(异步图书出品),79.00
正版 科学计算基础编程：PYTHON版（第五版） （挪）兰坦根 ,106.40
Django Web应用开发实战+Django企业 高效Python Web框架指南+项目开发实战 正版 3册,235.00
智能风控：Python金融风险管理与评分卡建模,57.50
Python爬虫数据分析黄金组合（京东套装共3册）,240.10
正版现货 数据结构与算法：Python语言实现/数据库算法/python语言计算机书|1016124,76.30
ABAQUS Python二次开发攻略 CAE分析大系,52.40
计量经济分析及其Python应用（数量经济学系列丛书）,54.50
Python 3.7从入门到精通（视频教学版）,65.80
利用Python轻松学数学(博文视点出品),69.00
Python编程与几何图形,59.00
Python神经网络编程(异步图书出品),69.00
Python开发技术大全,106.90
Python在大气与环境科学中的应用,106.70
Python语言从入门到精通,94.00
Python Web开发从入门到精通,94.00
Python数据分析黄金组合：零基础学Python+数据分析+编程百例（京东套装3册）,224.30
【套装10本】人工智能技术丛书从入门到实战python人工智能教程书籍TensorFlow深度学习,710.00
从零开始学Selenium自动化测试（基于Python·视频教学版）,77.20
Python核心编程（第3版）(异步图书出品),73.70
Python编程 从入门到实践 第2版(图灵出品),66.30
Python编程三剑客：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装共3册）,183.90
零基础学Python（Python3.9全彩版）（编程入门 项目实践 同步视频）,69.50
算法精粹 经典计算机科学问题的Python实现(异步图书出品),59.00
Python数据处理,74.25
深度学习实战—基于TensorFlow 2.0的人工智能开发应用,99.80
Python极简讲义：一本书入门数据分析与机器学习(博文视点出品),128.00
Python青少年趣味编程（全彩）,69.00
Python速查手册·基础卷（全彩版）,63.30
Python爬虫超详细实战攻略-微课视频版（清华开发者书库.Python）,75.70
基于Python的交互式数据可视化编程,46.00
Python忍者秘籍(异步图书出品),69.20
Python深度学习：逻辑、算法与编程实战,102.70
Python 3反爬虫原理与绕过实战(图灵出品),66.30
Python 3.8从零开始学,70.90
【套装3本】游戏编程入门教程书籍 Python游戏编程入门 C++游戏编程入门 游戏设计,119.00
Python安全攻防：渗透测试实战指南,72.60
Python数据结构学习笔记,56.30
人工智能 从小白到大神（美国AAAS院士清华大学智能科学讲席教授张亚勤 百度技术委员会理事长陈尚义联袂推荐）,89.80
Python极客项目编程(异步图书出品),51.40
自然语言处理实战 利用Python理解、分析和生成文本(异步图书出品),99.00
Python学习手册（套装上下册）（原书第5版）,180.70
利用Python进行数据分析（原书第2版） ,98.20
Python常用算法手册,56.30
Python人工智能,52.80
基于股票大数据分析的Python入门实战（视频教学版）,60.90
零基础轻松学Python(博文视点出品),59.90
O'Reilly：Python学习手册（第5版）上下册,151.10
基于Python的森林资源调查数据分析实践,73.60
Python迁移学习,89.00
Python编程从小白到大牛,119.90
python编程从入门到实践+C primer plus 第6版,194.40
正版 Python程序设计 第3版三版 董付国 清华大学 高等院校信息技术规划教材 软件工具程序设计,49.60
青少年Python创意编程趣味课堂（微课版）,52.70
基于Python的无监督学习,63.90
正版现货Python统计分析 Python应用编程 利用Python进行数据分析 python数据分,38.22
【自营】HTML+CSS+JavaScript/+C语言+java+python编程入门指南 SQL/Visual/Web/JSP/MySQL/Django/Pygame/Flask,238.40
Python从小白到大牛,65.80
Python 3高级教程（第3版）,67.20
数据荒岛求生——从Excel数据分析到Python数据分析,69.00
Python游戏趣味编程,37.28
Python实战入门三剑客（入门到实战）,224.30
流畅的Python(图灵出品),139.00
Python从入门到精通（软件开发视频大讲堂）,59.00
现货包邮正版 超简单：用Python让Excel飞起来 王秀文 办公自动化|8071559,48.90
Python学习手册 原书第5版+利用Python进行数据分析 原书第2版,248.50
Python趣味案例编程（全彩版）赠e学版电子书、源码、开发流程图,85.30
Python 3网络爬虫实战,70.20
O'Reilly：Python学习手册（第5版）上下册,151.10
Python模块参考手册·日期与时间（全彩版）,30.50
Python 3.8从入门到精通（视频教学版）,79.10
Python核心编程 第3版 习题解答,99.00
OpenCV 3计算机视觉：Python语言实现（原书第2版）,42.30
智能风控：原理、算法与工程实践,65.30
高顿教育 Python 金融编程：快速入门与项目实操 基于Python3.8版本新编,51.00
自动化测试实战宝典：Robot Framework + Python从小工到专家(博文视点出品),109.00
Python强化学习 套装共2册,170.80
【套装3本】剑指Offer Python 程序员面试算法宝典 数据库程序员面试笔试真题与解析,139.00
Python经典实例(图灵出品),121.70
Python密码学编程 第2版(异步图书出品),89.00
Python股票量化交易从入门到实践,45.84
用Python动手学机器学习,66.30
Python极客项目编程,30.65
CTF特训营 Python安全攻防 Kali linux高级渗透测试（套装共3册）,243.90
Python网络爬虫权威指南 第2版(图灵出品),58.80
正版 Python深度学习 deep learning深度学习 python人工智能机器学习经典教程,65.50
Python从入门到精通 清华大学出版社 Python零基础自学书籍 python编程从入门到实践,24.00
Python编程快速上手 让繁琐工作自动化 第2版,89.00
数据科学入门 第2二版 python数据分析编程从入门大话数据结构与算法分析数据挖掘大,76.00
5本 深度学习 深度学习入门 Python编程基础 神经网络编程 TensorFlow 人工智能书籍,290.00
图解数据结构--使用Python,69.80
从零开始学Python数据分析（视频教学版）,59.10
Python Flask Web开发入门与项目实战,71.00
Python学习手册 原书第5版2册 华章图书 O'Reilly精品图书系列,155.79
Selenium 3+Python 3自动化测试项目实战：从菜鸟到高手(博文视点出品),79.00
现货包邮 让工作化繁为简：用Python实现办公自动化 李杰臣|8078728,55.90
Python大数据处理库PySpark实战,69.80
基于Python语言的Selenium自动化测试,59.00
Python PyQt5开发黄金组合（京东套装共3册）,224.30
超简单 用Python让Excel飞起来,48.50
【套装5本】Python编程从入门到实践 快速上手 极客项目编程 流畅的Python 基础教程 第,330.00
趣学Python算法100例,72.60
 Python3面向对象编程 第2版 Python3.0编程语言 程序设计 Python3设计模式技,68.00
零基础入门学习Python 第2版 微课视频版,65.50
Python程序设计：人工智能案例实践,146.90
Python GUI 设计tkinter从入门到实践（Python3全彩版）赠入门视频、实例/项目源码、电子魔卡等,85.30
超简单：用Python让Excel飞起来,69.80
算法之美—Python语言实现 视频+案例+图解,51.60
看漫画学Python：有趣、有料、好玩、好用（全彩版）(博文视点出品),89.00
Python大数据分析与机器学习商业案例实战,86.10
【自营】C语言+java+python编程入门指南 SQL Server/Visual Studio/Web/JSP/MySQL/javascript/Django/Pygame/Flask,178.80
Python网络爬虫框架Scrapy从入门到精通,64.00
Python游戏趣味编程(异步图书出品),69.00
Python编程从0到1（视频教学版）,56.70
Python函数式编程 第2版,42.68
Python深度学习入门 从零构建CNN和RNN,58.80
Python程序员面试笔试宝典,76.80
Python机器学习中的数学修炼（清华开发者书库.Python）,74.80
